...1	품목...2	품목명...3	금액	비중...5	품목...6	품목명...7	건수	비중...9
1	3304	미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류	108404494	2.2	3304	미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류	1223299	86.18
2	6211	트랙슈트ㆍ스키슈트ㆍ수영복과 그 밖의 의류	18667509	33.15	6109	티셔츠ㆍ싱글리트(singlet)와 그 밖의 조끼(메리야스 편물이나 뜨개질 편물로 한정한다)	409976	93.48
3	6109	티셔츠ㆍ싱글리트(singlet)와 그 밖의 조끼(메리야스 편물이나 뜨개질 편물로 한정한다)	17610894	11.68	6211	트랙슈트ㆍ스키슈트ㆍ수영복과 그 밖의 의류	318150	97.03
4	6204	여성용이나 소녀용 슈트ㆍ앙상블(ensemble)ㆍ재킷ㆍ블레이저(blazer)ㆍ드레스ㆍ스커트ㆍ치마바지ㆍ긴 바지ㆍ가슴받이와 멜빵이 있는 바지ㆍ짧은 바지(breeches)ㆍ반바지(shorts)(수영복은 제외한다)	12582270	10.04	6204	여성용이나 소녀용 슈트ㆍ앙상블(ensemble)ㆍ재킷ㆍ블레이저(blazer)ㆍ드레스ㆍ스커트ㆍ치마바지ㆍ긴 바지ㆍ가슴받이와 멜빵이 있는 바지ㆍ짧은 바지(breeches)ㆍ반바지(shorts)(수영복은 제외한다)	233312	85.84
5	3919	플라스틱으로 만든 접착성 판ㆍ시트(sheet)ㆍ필름ㆍ박(箔)ㆍ테이프ㆍ스트립과 그 밖의 평면 모양인 것(롤 모양인지에 상관없다)	10980510	0.82	3919	플라스틱으로 만든 접착성 판ㆍ시트(sheet)ㆍ필름ㆍ박(箔)ㆍ테이프ㆍ스트립과 그 밖의 평면 모양인 것(롤 모양인지에 상관없다)	198157	65.06
6	8523	디스크ㆍ테이프ㆍ솔리드 스테이트(solid-state)의 비휘발성 기억장치ㆍ스마트카드와 음성이나 그 밖의 현상의 기록용 기타 매체[기록된 것인지에 상관없으며 디스크 제조용 매트릭스(matrices)와 마스터(master)를 포함하되, 제37류의 물품은 제외한다]	8517530	0.09	3305	두발용 제품류	138199	85.66
7	8471	자동자료처리기계와 그 단위기기, 자기식이나 광학식 판독기, 자료를 자료매체에 부호 형태로 전사하는 기계와 이러한 자료의 처리기계(따로 분류되지 않은 것으로 한정한다)	6618321	1.28	8523	디스크ㆍ테이프ㆍ솔리드 스테이트(solid-state)의 비휘발성 기억장치ㆍ스마트카드와 음성이나 그 밖의 현상의 기록용 기타 매체[기록된 것인지에 상관없으며 디스크 제조용 매트릭스(matrices)와 마스터(master)를 포함하되, 제37류의 물품은 제외한다]	137203	66.47
8	4202	트렁크ㆍ슈트 케이스ㆍ화장품 케이스ㆍ이그잭큐티브 케이스(executive case)ㆍ서류가방ㆍ학생가방ㆍ안경 케이스ㆍ쌍안경 케이스ㆍ사진기 케이스ㆍ악기 케이스ㆍ총 케이스ㆍ권총 케이스와 이와 유사한 용기, 가죽ㆍ콤퍼지션 레더(composition leather)ㆍ플라스틱의 시트(sheet	5657719	2.48	4202	트렁크ㆍ슈트 케이스ㆍ화장품 케이스ㆍ이그잭큐티브 케이스(executive case)ㆍ서류가방ㆍ학생가방ㆍ안경 케이스ㆍ쌍안경 케이스ㆍ사진기 케이스ㆍ악기 케이스ㆍ총 케이스ㆍ권총 케이스와 이와 유사한 용기, 가죽ㆍ콤퍼지션 레더(composition leather)ㆍ플라스틱의 시트(sheet	110405	71.33
9	6110	저지(jersey)ㆍ풀오버(pullover)ㆍ카디건(cardigan)ㆍ웨이스트코트(waistcoat)와 이와 유사한 의류(메리야스 편물이나 뜨개질 편물로 한정한다)	5381173	7.83	7117	모조 신변장식용품	105436	79.44
10	9004	시력교정용ㆍ보호용이나 그 밖의 용도의 안경ㆍ고글과 이와 유사한 물품	5360105	15.04	8543	그 밖의 전기기기(이 류에 따로 분류되지 않은 것으로서 고유의 기능을 가진 것으로 한정한다)	104525	67.49
